NCBI_tax.id;species.name;host.name;disease;human.Hosted;human.Hosted.Source;animal.Pathogenic;animal.Pathogenic.Source;plant.Pathogenic;plant.Pathogenic.Source;version_status;assembly_level;genome_representation;ftp_path;fold1;genbank_assembly_accession;assembly_name;assembly_accession
47426;Armillaria cepistipes;;;FALSE;;FALSE;;TRUE;Vacher C, Piou D, Desprez-Loustau ML (2008) Architecture of an Antagonistic Tree/Fungus Network: The Asymmetric Influence of Past Evolutionary History. PLOS ONE 3(3): e1740. https://doi.org/10.1371/journal.pone.0001740;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/157/415/GCA_900157415.1_version_2;train;GCA_900157415.1;version_2;GCA_900157415.1_version_2_genomic
108572;Armillaria fuscipes;Pinus patula, coffee, tea;;FALSE;;FALSE;;TRUE;Gezahgne, Alemu & Coetzee, Martin & Wingfield, Brenda & Wingfield, Michael & Roux, Jolanda. (2004). Identification of Armillaria root rot pathogen in Ethiopian plantations. Forest Pathology. 34. 133 - 145. 10.1111/j.1439-0329.2004.00352.x. ;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/825/GCA_001679825.1_ASM167982v1;train;GCA_001679825.1;ASM167982v1;GCA_001679825.1_ASM167982v1_genomic
47427;Armillaria gallica;hardwood tree;;FALSE;;FALSE;;TRUE;Sipos, G., Prasanna, A. N., Walter, M. C., O'Connor, E., Bálint, B., Krizsán, K., Kiss, B., Hess, J., Varga, T., Slot, J., Riley, R., Bóka, B., Rigling, D., Barry, K., Lee, J., Mihaltcheva, S., LaButti, K., Lipzen, A., Waldron, R., Moloney, N. M., … Nagy, L. G. (2017). Genome expansion and lineage-specific genetic innovations in the forest pathogenic fungi Armillaria. Nature ecology & evolution, 1(12), 1931–1941. https://doi.org/10.1038/s41559-017-0347-8;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/307/695/GCA_002307695.1_Armga1;train;GCA_002307695.1;Armga1;GCA_002307695.1_Armga1_genomic
47428;Armillaria ostoyae;forest;white rot;FALSE;;FALSE;;TRUE;Labbé, F., Marcais, B., Dupouey, J.-L., Bélouard, T., Capdevielle, X., Piou, D., … Dutech, C. (2015). Pre-existing forests as sources of pathogens? The emergence of Armillaria ostoyae in a recently planted pine forest. Forest Ecology and Management, 357, 248–258. doi: 10.1016/j.foreco.2015.08.028;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/157/425/GCA_900157425.1_version_2;train;GCA_900157425.1;version_2;GCA_900157425.1_version_2_genomic
1076256;Armillaria solidipes;wood;;FALSE;;FALSE;;TRUE;Sipos, G., Prasanna, A. N., Walter, M. C., O'Connor, E., Bálint, B., Krizsán, K., Kiss, B., Hess, J., Varga, T., Slot, J., Riley, R., Bóka, B., Rigling, D., Barry, K., Lee, J., Mihaltcheva, S., LaButti, K., Lipzen, A., Waldron, R., Moloney, N. M., … Nagy, L. G. (2017). Genome expansion and lineage-specific genetic innovations in the forest pathogenic fungi Armillaria. Nature ecology & evolution, 1(12), 1931–1941. https://doi.org/10.1038/s41559-017-0347-8;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/307/675/GCA_002307675.1_Armost1;train;GCA_002307675.1;Armost1;GCA_002307675.1_Armost1_genomic
112178;Arthrinium phaeospermum;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/503/535/GCA_006503535.1_ASM650353v1;train;GCA_006503535.1;ASM650353v1;GCA_006503535.1_ASM650353v1_genomic
13349;Arthrobotrys oligospora;Nematode;;FALSE;;TRUE;Niu, X.-M., & Zhang, K.-Q. (2011). Arthrobotrys oligospora: a model organism for understanding the interaction between fungi and nematodes. Mycology, 2(2), 59–78. doi: 10.1080/21501203.2011.562559;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/545/GCA_000225545.1_AOL24927_1.0;train;GCA_000225545.1;AOL24927_1.0;GCA_000225545.1_AOL24927_1.0_genomic
74035;Arthroderma uncinatum;Homo sapiens;;TRUE;Diniz, L., de Souza Filho, J.B. & da Vitória, L.C. 1991. Dermatofitose por Trichophyton ajelloi em ser humano. Anais Bras. Derm. 66, 275-276;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/692/745/GCA_011692745.1_ASM1169274v1;train;GCA_011692745.1;ASM1169274v1;GCA_011692745.1_ASM1169274v1_genomic
372025;Ascochyta fabae;faba beans;;FALSE;;FALSE;;TRUE;Taylor, P. W. J., & Ford, R. (2007). Diagnostics, genetic diversity and pathogenic variation of ascochyta blight of cool season food and feed legumes. European Journal of Plant Pathology, 119(1), 127–133. doi: 10.1007/s10658-007-9177-x;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/335/285/GCA_004335285.1_ASM433528v1;train;GCA_004335285.1;ASM433528v1;GCA_004335285.1_ASM433528v1_genomic
5454;Ascochyta rabiei;chickpea;;FALSE;;FALSE;;TRUE;Taylor, P. W. J., & Ford, R. (2007). Diagnostics, genetic diversity and pathogenic variation of ascochyta blight of cool season food and feed legumes. European Journal of Plant Pathology, 119(1), 127–133. doi: 10.1007/s10658-007-9177-x;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/037/155/GCA_011037155.1_ASM1103715v1;train;GCA_011037155.1;ASM1103715v1;GCA_011037155.1_ASM1103715v1_genomic
5105;Ascosphaera apis;honey bees;chalkbrood disease;FALSE;;TRUE;Gilliam, M. (1986). Infectivity And Survival Of The Chalkbrood Pathogen, Ascosphaera Apis, In Colonies Of Honey Bees, Apis Mellifera. Apidologie, 17(2), 93–100. doi: 10.1051/apido:19860202;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/715/GCA_001636715.1_AAP_1.0;val;GCA_001636715.1;AAP_1.0;GCA_001636715.1_AAP_1.0_genomic
487661;Aspergillus aculeatinus;Homo sapiens;;TRUE;Perrone, G., Epifani, F., Rambukwelle, K., Wijedasa, H., & Arseculeratne, S. Aspergillus aculeatinus (new species) in chronic human dacryocystitis: The first report on its pathogenic role.;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/765/GCA_003184765.1_Aspacu1;train;GCA_003184765.1;Aspacu1;GCA_003184765.1_Aspacu1_genomic
5053;Aspergillus aculeatus;grape, citrus;;FALSE;;FALSE;;TRUE;Jarvis, W. R., & Traquair, J. A. (1984). Bunch rot of grapes caused by Aspergillus aculeatus. Plant disease, 68(8), 718-719.;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/905/GCA_001890905.1_Aspac1;train;GCA_001890905.1;Aspac1;GCA_001890905.1_Aspac1_genomic
209559;Aspergillus alliaceus;Homo sapiens;;TRUE;Ozhak-Baysan, B., Alastruey-Izquierdo, A., Saba, R., Ogunc, D., Ongut, G., Timuragaoglu, A., ... & Rodriguez-Tudela, J. L. (2010). Aspergillus alliaceus and Aspergillus flavus co-infection in an acute myeloid leukemia patient. Medical mycology, 48(7), 995-999.;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/176/365/GCA_009176365.1_Aspalli1;train;GCA_009176365.1;Aspalli1;GCA_009176365.1_Aspalli1_genomic
36643;Aspergillus avenaceus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/193/465/GCA_009193465.1_Aspave1;train;GCA_009193465.1;Aspave1;GCA_009193465.1_Aspave1_genomic
105351;Aspergillus awamori;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/850/985/GCA_003850985.1_Aawm_assembly01;test;GCA_003850985.1;Aawm_assembly01;GCA_003850985.1_Aawm_assembly01_genomic
454130;Aspergillus calidoustus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/511/075/GCA_001511075.1_Acal_Allpaths_LG;train;GCA_001511075.1;Acal_Allpaths_LG;GCA_001511075.1_Acal_Allpaths_LG_genomic
41067;Aspergillus candidus;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/847/045/GCA_002847045.1_Aspcand1;train;GCA_002847045.1;Aspcand1;GCA_002847045.1_Aspcand1_genomic
182096;Aspergillus chevalieri;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/875/GCA_001599875.1_JCM_23047_assembly_v001;train;GCA_001599875.1;JCM_23047_assembly_v001;GCA_001599875.1_JCM_23047_assembly_v001_genomic
5057;Aspergillus clavatus;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/715/GCA_000002715.1_ASM271v1;train;GCA_000002715.1;ASM271v1;GCA_000002715.1_ASM271v1_genomic
36630;Aspergillus fischeri;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/645/GCA_000149645.2_ASM14964v1;train;GCA_000149645.2;ASM14964v1;GCA_000149645.2_ASM14964v1_genomic
5059;Aspergillus flavus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;TRUE;Tao Lu, Bo Yao, Chi Zhang, DFVF: database of fungal virulence factors, Database, Volume 2012, 2012, bas032, https://doi.org/10.1093/database/bas032;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/275/GCA_000006275.2_JCVI-afl1-v2.0;train;GCA_000006275.2;JCVI-afl1-v2.0;GCA_000006275.2_JCVI-afl1-v2.0_genomic
746128;Aspergillus fumigatus;Homo sapiens;;TRUE;Köhler, J. R., Casadevall, A., & Perfect, J. (2014). The spectrum of fungi that infects humans. Cold Spring Harbor perspectives in medicine, 5(1), a019273. https://doi.org/10.1101/cshperspect.a019273;FALSE;;FALSE;;latest;Chromosome;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/655/GCA_000002655.1_ASM265v1;test;GCA_000002655.1;ASM265v1;GCA_000002655.1_ASM265v1_genomic
41413;Aspergillus glaucus;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/805/GCA_001890805.1_Aspgl1;train;GCA_001890805.1;Aspgl1;GCA_001890805.1_Aspgl1_genomic
34381;Aspergillus japonicus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/785/GCA_003184785.1_Aspjap1;train;GCA_003184785.1;Aspjap1;GCA_003184785.1_Aspjap1_genomic
293939;Aspergillus lentulus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/445/615/GCA_001445615.1_Alt_assembly01;val;GCA_001445615.1;Alt_assembly01;GCA_001445615.1_Alt_assembly01_genomic
162425;Aspergillus nidulans;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/205/GCA_000149205.2_ASM14920v2;train;GCA_000149205.2;ASM14920v2;GCA_000149205.2_ASM14920v2_genomic
5061;Aspergillus niger;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/855/GCA_000002855.2_ASM285v2;train;GCA_000002855.2;ASM285v2;GCA_000002855.2_ASM285v2_genomic
340412;Aspergillus novofumigatus;Homo sapiens;;TRUE;Kjærbølling, I., Vesth, T. C., Frisvad, J. C., Nybo, J. L., Theobald, S., Kuo, A., Bowyer, P., Matsuda, Y., Mondo, S., Lyhne, E. K., Kogle, M. E., Clum, A., Lipzen, A., Salamov, A., Ngan, C. Y., Daum, C., Chiniquy, J., Barry, K., LaButti, K., Haridas, S., … Andersen, M. R. (2018). Linking secondary metabolites to gene clusters through genome sequencing of six diverse Aspergillus species. Proceedings of the National Academy of Sciences of the United States of America, 115(4), E753–E761. https://doi.org/10.1073/pnas.1715954115;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/847/465/GCA_002847465.1_Aspnov1;train;GCA_002847465.1;Aspnov1;GCA_002847465.1_Aspnov1_genomic
40380;Aspergillus ochraceus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/849/945/GCA_004849945.1_AoFc;train;GCA_004849945.1;AoFc;GCA_004849945.1_AoFc_genomic
5062;Aspergillus oryzae;Homo sapiens;;TRUE;Taylor, L. H., Latham, S. M., & Woolhouse, M. E. (2001). Risk factors for human disease emergence. Philosophical transactions of the Royal Society of London. Series B, Biological sciences, 356(1411), 983–989. https://doi.org/10.1098/rstb.2001.0888;FALSE;;TRUE;Tao Lu, Bo Yao, Chi Zhang, DFVF: database of fungal virulence factors, Database, Volume 2012, 2012, bas032, https://doi.org/10.1093/database/bas032;latest;Chromosome;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/455/GCA_000184455.3_ASM18445v3;train;GCA_000184455.3;ASM18445v3;GCA_000184455.3_ASM18445v3_genomic
396024;Aspergillus ruber;;;FALSE;;FALSE;;TRUE;Farr, D.F., & Rossman, A.Y. Fungal Databases, U.S. National Fungus Collections, ARS, USDA. Retrieved May 8, 2020, from https://nt.ars-grin.gov/fungaldatabases/;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/275/GCA_000600275.1_Eurhe1;train;GCA_000600275.1;Eurhe1;GCA_000600275.1_Eurhe1_genomic
138282;Aspergillus sclerotiorum;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/530/345/GCA_000530345.1_HBR18v1;val;GCA_000530345.1;HBR18v1;GCA_000530345.1_HBR18v1_genomic
75750;Aspergillus sydowii;Homo sapiens, coral;aspergillosis, coral disease;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/705/GCA_001890705.1_Aspsy1;val;GCA_001890705.1;Aspsy1;GCA_001890705.1_Aspsy1_genomic
41984;Aspergillus tamarii;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/193/485/GCA_009193485.1_Asptam1;train;GCA_009193485.1;Asptam1;GCA_009193485.1_Asptam1_genomic
33178;Aspergillus terreus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1;train;GCA_000149615.1;ASM14961v1;GCA_000149615.1_ASM14961v1_genomic
41047;Aspergillus thermomutatus;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/237/265/GCA_002237265.2_ASM223726v2;train;GCA_002237265.2;ASM223726v2;GCA_002237265.2_ASM223726v2_genomic
478866;Aspergillus tritici;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Scaffold;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/812/425/GCA_009812425.1_ASM981242v1;train;GCA_009812425.1;ASM981242v1;GCA_009812425.1_ASM981242v1_genomic
5068;Aspergillus tubingensis;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/614/855/GCA_010614855.1_ASM1061485v1;train;GCA_010614855.1;ASM1061485v1;GCA_010614855.1_ASM1061485v1_genomic
40381;Aspergillus unguis;Homo sapiens;;TRUE;de Hoog GS, Guarro J, Gené J, Ahmed S, Al-Hatmi AMS, Figueras MJ & Vitale RG (2019) Atlas of Clinical Fungi, 3rd e-edition. Utrecht / Reus. ;FALSE;;FALSE;;latest;Contig;Full;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/324/175/GCA_003324175.1_ASM332417v1;train;GCA_003324175.1;ASM332417v1;GCA_003324175.1_ASM332417v1_genomic
